idx,x,y,z,rx,ry,rz,rw
0,-2.528639793395996,-8.848487854003906,0.5542935132980347,0.0,0.0,-0.013381201015836851,0.9999104677216725
0,-1.568353295326233,-8.795933723449707,0.5101854205131531,0.0,0.0,-0.023846898713044056,0.9997156222755398
0,-0.6124476194381714,-8.750195503234863,0.588226318359375,0.0,0.0,-0.0007734595958087903,0.999999700880082
0,-0.2024664729833603,-8.706534385681152,0.5916464924812317,0.0,0.0,0.003754547357915776,0.999992951662229
10,5.619019985198975,-8.533438682556152,0.5090838670730591,0.0,0.0,0.017223936931713618,0.9998516569954626
20,12.394882202148438,-7.955964088439941,0.7790585160255432,0.0,0.0,0.023809725285749657,0.9997165083071387
30,19.98641586303711,-7.075201988220215,0.8141679167747498,0.0,0.0,0.03203179289122851,0.9994868504608619
40,27.134000778198242,-6.032671928405762,1.0655677318572998,0.0,0.0,0.011077381421430107,0.9999386439281382
50,35.674041748046875,-4.792170524597168,1.66204035282135,0.0,0.0,0.03190854136734513,0.9994907928479424
60,42.591026306152344,-3.1466729640960693,2.0156612396240234,0.0,0.0,0.04153455365544272,0.9991370681005901
60,43.225311279296875,-2.8264548778533936,1.9910361766815186,0.0,0.0,0.020766918493931336,0.9997843442944415
70,48.46046829223633,-1.215590238571167,2.513176918029785,0.0,0.0,0.09230683278495525,0.9957306104671134
80,51.25358581542969,-0.507779598236084,3.243187665939331,0.0,0.0,0.08935740395404687,0.9959996256819544
90,51.480918884277344,-0.4123501479625702,3.6094284057617188,0.0,0.0,0.10457539950426425,0.9945169610512048
100,49.2766227722168,-0.950258731842041,3.130833625793457,0.0,0.0,0.0918650210528824,0.995771468715063
100,48.800079345703125,-0.9138566851615906,3.0387353897094727,0.0,0.0,0.10468042441657309,0.9945059118697919
110,44.79364776611328,-1.2708971500396729,2.8112049102783203,0.0,0.0,0.17026925846019716,0.9853975743949315
110,44.3776969909668,-1.1255435943603516,2.8944945335388184,0.0,0.0,0.09174049857033278,0.9957829487002008
