idx,x,y,z,yaw,q_x,q_y,q_z,q_w
100,-0.4184,-1.5785,46.8859,0.1644,6.102566366467463e-17,5.0267117423474796e-18,0.08209243262379443,0.996624719995399
110,-2.1146,-0.922,50.6575,0.1091,6.114120064821064e-17,3.3396167369761497e-18,0.05454008027949481,0.9985115821276719
120,-1.9794,-1.1708,50.1558,0.1426,6.107683985893128e-17,4.361088109761784e-18,0.07122197376089405,0.9974604906729901
130,-1.5656,-0.9505,47.9765,0.158,6.10412681757545e-17,4.833532471212316e-18,0.07893757570881024,0.9968795610008341
140,-0.2152,-2.1084,43.1037,0.1846,6.097160185070082e-17,5.644751935582237e-18,0.09218579494940636,0.9957418235715247
150,-1.0184,-0.3848,40.5723,0.1552,6.1048036410414e-17,4.747284180182367e-18,0.07752903422419609,0.9969900946610569
160,0.0839,-1.585,37.6295,0.182,6.097906767226813e-17,5.563520690676612e-18,0.09085918804589457,0.9958637496905088
170,0.3633,-1.5393,37.6219,0.1689,6.101400136426407e-17,5.16634243698813e-18,0.08437277491902381,0.9964342601759855
180,0.7681,-1.5796,37.6198,0.1548,6.104893514763624e-17,4.735712617373215e-18,0.0773400562622693,0.9970047721537489
190,1.0127,-1.5558,37.158,0.1548,6.104906011604373e-17,4.7341013510825894e-18,0.07731374228681535,0.9970068130427232
200,1.0126,-1.5507,37.5446,0.1589,6.10392374673005e-17,4.859109595917961e-18,0.07935528185434465,0.9968463970150152
210,0.965,-1.4487,36.4334,0.1524,6.10545768100511e-17,4.662414310227533e-18,0.07614300406408912,0.997096907492996
220,0.9053,-1.4345,36.4332,0.1534,6.105230262567734e-17,4.692099823890677e-18,0.07662780529304448,0.9970597672436549
230,0.6936,-1.4498,36.4737,0.1535,6.1052172297958e-17,4.693795303919093e-18,0.07665549458320711,0.9970576388304758
240,0.6042,-1.3439,37.1174,0.1457,6.107001777268158e-17,4.455601631541981e-18,0.0727654967071999,0.997349077549558
250,0.6472,-1.0082,37.9991,0.1561,6.104601983597711e-17,4.773145591759388e-18,0.07795138312667192,0.9969571615012546
260,0.3749,-0.682,38.8045,0.1546,6.104939754124606e-17,4.729748038272506e-18,0.07724264729333455,0.9970123236144662
270,-0.2302,-0.512,39.3325,0.1143,6.113230848197838e-17,3.498616343481806e-18,0.05713674091040256,0.9983663620325645
280,-0.2916,-0.6128,40.6457,0.0795,6.1184028509059e-17,2.4318947463453053e-18,0.03971585518434352,0.9992110141741716
290,-0.5341,-0.4683,40.6248,0.0665,6.119844783080036e-17,2.0370173674890456e-18,0.03326701819507954,0.9994464995688406
300,-1.2255,-0.4689,41.5173,0.0992,6.115697898020399e-17,3.0370015919541886e-18,0.04959799991423923,0.9987692618440495
310,-3.6994,0.644,43.4473,-0.0442,6.121741025250031e-17,-1.3520867692998952e-18,-0.022081252655725237,0.9997561794163387
320,-3.8572,0.5971,43.3704,-0.0448,6.121699558098814e-17,-1.3707329032035653e-18,-0.022385767131517804,0.9997494073166205
330,-0.9156,-0.9498,41.2816,0.0199,6.122930944189225e-17,6.091977705552341e-19,0.009948954604370522,0.9999505079264075
333610962_136057829195812_4907054719557410010_n,,,,,,
334742993_163895199851045_6846501712502692384_n,-12.0633,2.2574,157.4308,-0.0717,6.119302370311866e-17,-2.193924958653648e-18,-0.03582951362272198,0.9993579168413885
340,0.5836,-0.5334,42.0799,0.0567,6.120776904329744e-17,1.7344928356740878e-18,0.02832641765579609,0.9995987265211924
350,1.6764,-0.4465,43.2412,0.0511,6.121238577201779e-17,1.5631010051558482e-18,0.025527376648420426,0.9996741234229533
360,2.3407,-0.4431,42.6521,0.0514,6.121211184554343e-17,1.573791620046492e-18,0.025701967639032364,0.9996696498641352
370,1.7635,-0.5993,43.291,0.074,6.11904370537711e-17,2.264921593150949e-18,0.03698897665396873,0.9993156736517708
